102-0,102-1,102-2,102-3,102-4,116-1,116-2,116-3,116-4,119-1,119-2,120-0,120-1,120-2,133-0,133-1,133-2,133-3,133-4,148-1,148-1.5,149-1,149-2,161-1,161-1.5,161-2,161-2.5,175-0,175-1,175-1.5,175-2,175-3,175-4,103-1,103-2,103-3,103-4,121-1,121-2,123-1,123-2,123-3,123-4,134-0,134-1,150-1,150-1.5,150-2,150-2.5,150-3,150-4,162-1,162-2,162-2.5,163-0,163-1,163-1.5,176-1,176-1.5,176-2,176-2.5,176-3,176-4,134-1a,134-1b,134-1c,134-1d,134-1e,105-1,105-2,105-3,124-0,124-1,124-2,124-3,124-4,136-1,136-2,138-0,138-1,138-2,138-3,138-4,151-0,151-1,151-2,151-2.5,151-3,151-3.5,151-4,165-1,165-1.5,165-2,165-2.5,165-3,165-3.5,106-1,106-2,106-3,106-4,126-0,126-1,126-2,126-3,126-4,139-0,139-1,139-2,139-3,139-4,140-1,140-2,140-3,140-4,152-1,152-1.5,152-2,152-2.5,152-4,167-1,167-2,167-2.5,167-3,167-4,108-0,108-1,109-0,109-1,109-2,109-3,109-4,127-0,127-1,127-2,127-3,127-4,142-1,142-2,142-3,142-4,143-0,143-1,153-1,153-2,153-2.5,153-3,153-3.5,153-4,168-0,168-1,168-1.5,168-2,168-2.5,168-3,168-4,114-0,114-1,114-2,114-3,114-4,129-1,129-2,129-3,129-4,130-0,130-1,144-0,144-1,144-2,144-3,144-4,155-0,155-1,155-1.5,155-2,155-3,155-4,169-0,169-1,169-1.5,169-2,169-2.5,169-3,169-4,115-0,115-1,115-2,115-3,115-4,115-5,115-6,115-7,115-8,131-1,131-2,131-3,131-4,145-0,145-1,145-1.5,145-2,145-2.5,145-3,145-4,158-1,158-1.5,158-2,170-0,170-1,170-1.5,170-2,170-3,170-3.5,170-4,145-1a,145-1b,145-1c,145-1d,145-1e,132-0,132-1,132-2,132-3,132-4,132-5,132-6,132-7,132-8,146-0,146-1,147-1,147-2,147-2.5,147-3,147-4,160-1,160-1.5,160-2,160-3,160-3.5,160-4,171-1,171-2,171-3,171-4,174-1,174-2,174-2.5,174-3,174-4
"1,437,844","723,869","163,671","1,870,908","165,237","305,756","110,165",,"272,678",,,,"582,786","958,075","773,646",,"280,530","207,046","176,858","269,438","887,486","314,912",,,,"250,410","407,135","1,148,734",,,,"794,059","244,483",,"186,976","431,658","170,429",,"802,212","342,348","219,820","162,264",,"857,893","424,576","916,042","649,189","250,365","1,030,025","437,622","699,651",,"549,289","423,998","744,545","659,751","2,488,117","1,309,677","758,104",,"273,270",,,"340,787","406,391","454,943","433,725","454,387",,"392,345","950,682","3,465,959",,"260,863","268,176","4,287,016",,,"458,091","278,293","152,510",,"176,964","161,005",,"96,329","78,922","235,709","1,085,833","555,184","347,269","171,503","183,584","412,401","541,440","232,209",,,,"260,916","4,847,708",,"317,455",,,"1,211,801",,"579,576","1,154,615","712,991",,,"1,035,453","925,962","351,010","250,710",,,"593,744","1,159,074","599,421",,,"461,874","412,405","295,009","1,741,153","572,735","114,599","108,301",,"3,120,419","70,060",,,"158,432","447,389","2,890,696","371,215","576,065","1,117,747","948,683","119,132","901,404","339,299",,"458,385","357,125","224,564","787,907","1,124,209","470,653","622,087","531,099","409,019","3,412,857",,,"142,100",,"97,336","232,361","389,558","398,641","190,764",,"3,025,551","88,715","191,152","573,440","499,981","6,183,979",,,"227,610","260,088",,,,,,,,,"3,141,380",,"181,339","164,994","455,469","334,256",,"426,742","538,264",,"193,055","197,164",,"993,847","668,086","301,661","416,265","700,394","93,322","301,203","801,903","815,206","1,013,311","5,691,358","432,395","160,021","694,495","376,942",,"413,309","678,531","693,407","619,382","939,315","694,881","1,532,923","244,754",,"405,223","163,566","430,921","2,592,974","2,002,603","3,157,895","10,595,146","618,453","125,452","142,358","192,804","1,798,287","513,375","956,801","2,543,604",,,,"312,615","7,953,922","166,846",,,"291,147",,"280,384","346,296","141,071"
"787,658","580,573",,"1,489,958",,"362,633","167,595","102,429","247,167",,,,"487,433","714,278","466,553","309,399",,"122,298",,"184,318","935,841",,,,,,"275,857","888,685","420,229",,,"355,900",,,"111,280",,,,"367,483","266,332",,"114,469",,"495,538",,"844,597","629,255","216,981","732,027","400,815","434,720",,"227,511","95,654","361,505","171,917","482,343","815,526","294,814",,"345,229",,,"120,839","121,950","109,503","105,175",,"636,605","441,265","686,352","1,525,309",,,"168,338","2,652,825","508,264",,,,,,"67,308","395,569",,,,"284,943","659,588","325,927","464,882","274,278",,"105,959","171,511","605,151",,,,,"748,971","213,803","284,213",,"279,615","1,224,721",,"810,060","948,181","470,964","1,724,951","335,007","666,402","741,817","285,562","236,608","60,574",,"350,012","1,527,541","2,456,808","3,213,982",,"364,212","439,223","821,122","363,275","730,054",,,,"407,310","477,358",,,,"423,027","2,377,648","177,008","357,326","1,174,187","889,392",,"488,039","192,488","109,387","250,802","208,501",,"314,268","298,927","136,293",,"125,631","280,359","1,517,776",,,,,"907,299",,,"155,763","211,771",,"2,568,108","208,041",,"368,420","371,547","562,188","1,245,869","835,159","337,500","265,277",,,"127,401",,,,,,"1,775,100",,"76,469",,"160,688","262,588","97,980",,"150,816","178,160",,,,"650,873","1,700,930","703,518","233,306","601,922","42,537","103,453","800,266","1,293,603","1,060,823","2,161,622","386,225","172,588","340,730",,,"128,989","2,051,705","1,957,965","2,136,548","2,087,087","1,897,146","1,627,469",,,"171,638",,"134,785","2,414,147","1,064,214","3,451,657","19,595,466","270,138",,"80,585","88,269","1,166,031","157,969","954,050","1,472,784",,,,"202,637","6,042,078","149,756",,,"110,811","54,852",,"174,601","88,665"
"31,193,564","57,657,904","54,691,032","78,783,720","85,456,056","57,094,068","64,498,936","95,197,120","68,582,896","33,061,918","67,023,764","69,079,072","62,830,652","53,740,528","38,847,132","86,176,280","128,281,392","204,768,992","121,427,232","52,408,648","3,057,055","73,265,240","120,059,856","41,191,424","49,341,128","88,759,784","43,213,712","31,920,680","29,066,014","34,092,428","100,090,752","126,502,760","125,021,336","37,322,352","32,398,850","21,746,632","73,243,176","56,304,496","40,670,628","48,121,916","65,397,200","90,215,440","77,846,400","53,050,488","61,915,264","40,865,664","39,281,120","53,430,524","37,439,292","85,042,960","126,378,672","44,280,640","39,162,408","56,547,104","18,078,766","45,704,528","2,342,551","43,600,160","35,546,716","52,143,432","68,391,880","41,119,400","24,485,940","58,989,796","51,446,884","55,877,488","61,994,896","53,672,812","15,094,951","8,300,365","23,655,228","3,711,420","34,847,708","37,962,076","50,019,180","8,123,014","20,946,200","24,467,954","29,848,554","97,714,896","72,335,856","93,472,016","42,429,300","5,860,212","37,063,048","129,120,616","107,466,216","76,809,552","29,663,312","48,749,724","15,090,641","7,511,316","24,355,668","16,803,100","21,341,266","13,493,927","65,370,556","108,813,760","71,415,144","47,998,624","13,498,656","6,361,243","13,936,487","25,524,676","5,692,485","4,410,681","72,927,448","58,490,140","117,201,288","68,049,944","23,119,230","35,221,544","46,669,364","55,145,892","50,603,260","49,142,568","81,853,664","92,593,696","104,093,536","27,772,208","33,213,692","37,223,032","54,397,824","82,978,736","19,253,188","40,777,868","36,043,144","13,879,733","91,329,584","131,972,272","75,435,968","6,228,804","32,995,898","30,078,280","137,799,600","102,277,456","89,528,944","120,314,392","56,405,468","65,496,988","17,713,102","21,473,662","26,937,482","33,713,592","35,819,152","95,255,864","66,525,116","42,372,264","20,902,956","50,733,040","64,490,988","41,088,256","34,481,296","54,390,272","53,308,540","10,128,946","77,034,648","169,722,464","90,364,512","98,423,584","30,734,138","43,942,136","64,344,276","55,645,548","3,082,509","69,609,744","89,634,944","63,302,292","128,344,120","158,099,520","166,405,248","22,630,566",,,"17,951,298","9,325,796","101,926,912","68,412,744","48,274,612","68,289,392","66,369,392","41,619,044","117,405,776","65,077,612","2,911,565","44,834,604","34,306,724","54,355,060","74,308,768","77,951,520","23,218,998","59,188,756","90,360,736","19,729,492","48,627,264","55,571,532","57,696,484","44,744,748","36,453,480","24,416,404","71,443,992","74,963,840","61,372,464","28,258,658","14,993,445","42,819,308","117,844,632","9,282,388","38,471,660","14,005,577","77,812,688","75,460,936","161,141,072","86,081,336","38,800,160","19,948,032","23,007,358","22,235,718","17,168,878","33,263,846","17,962,402","63,852,384","44,317,644","35,878,892","26,836,226","31,618,106","31,378,884","30,521,380","5,717,518","78,523,544","39,656,724","35,471,604","39,353,240","82,888,608","69,012,640","26,569,928","34,532,308","33,459,096","110,390,712","99,057,592","29,543,674","68,109,640","70,273,776","72,764,512","178,019,152","74,029,696","55,356,560","74,334,080","63,788,072","41,362,980"
"457,691","1,822,890","3,373,234","1,862,061","3,783,755","1,322,857","944,417","3,920,298","3,079,482","927,815","1,423,031","4,706,975","539,941","1,378,510","574,031","1,117,671","4,091,646","2,600,607","1,776,266","1,867,956",,"434,097","1,807,520","1,761,113","1,227,044","2,013,311","1,640,228","489,389","1,608,602","1,252,091","2,249,139","4,160,151","1,648,491","1,806,214","1,064,629","2,196,348","4,859,870","4,351,363","981,135","692,490","5,312,233","6,829,885","4,915,289","3,785,332","2,912,382","551,167","1,630,903","5,559,416","3,239,067","3,470,078","2,816,037","3,683,915","1,628,331","540,421","2,461,408","1,652,757","143,685","819,432","1,032,542","1,142,723","1,658,302","1,937,114","4,681,547","3,168,982","2,404,280","2,816,005","3,485,738","2,593,402","1,107,629","642,092","156,231",,"651,945","424,716","2,685,348","1,131,535","248,648","3,087,241","793,490","2,550,208","2,309,459","8,774,782","3,654,248",,"9,132,482","4,437,423","5,417,150","938,196","5,960,716","9,096,112","1,385,617","431,339","1,286,727","1,819,432","2,834,501","697,722","1,278,245","2,713,007","1,611,299","559,975","808,600","1,514,984","1,089,284","1,187,757","1,381,592",,"2,848,203","4,912,934","6,262,865","2,690,483","771,224","2,123,538","3,071,635","3,510,964","2,316,654","1,270,926","3,256,277","4,953,982","6,383,947","1,177,003","1,364,642","1,691,860","4,377,526","4,207,981","621,071","699,945","1,363,292","373,731","1,890,057","2,735,182","3,248,637",,,"461,473","835,789","1,061,029","1,193,714","3,294,281","803,120","1,445,854","568,916",,"4,136,295","1,783,584","7,493,075","477,918","1,871,899","735,819","3,204,429","4,768,423","3,062,214","2,856,621","6,314,454","1,606,392","3,005,607",,"3,622,323","4,257,705","5,224,012","3,170,769","512,133","4,258,030","4,238,537","2,382,030",,"1,077,442","713,779","1,719,799","7,080,818","3,581,440","4,813,157","356,301",,,"1,510,238","638,067","2,419,305","1,994,517","2,267,518","1,048,170","2,557,022","2,494,289","2,964,605","1,941,798",,"877,288","2,547,373","2,754,226","1,805,508","2,133,533","2,150,885","4,048,873","2,301,700","624,463","2,951,449","1,407,202","2,875,803","208,686","809,740","1,431,845","1,514,466","4,524,616","360,456","1,260,693","1,173,107","2,096,419","2,253,888","1,509,660","554,930","371,866","1,006,142","6,592,942","6,451,871","1,400,933","931,619","978,703","868,021","1,198,563","1,374,944","1,439,090","817,165","1,031,612","1,134,344","2,867,957","1,102,220","1,549,451","1,729,342","1,059,067",,"1,242,418","2,872,060","2,949,896","5,011,082","1,451,316","2,654,282","757,743","962,143","2,045,011","8,593,130","8,813,964","2,243,705","604,028","4,079,327","4,892,014","4,826,381","2,566,274","2,229,641","1,821,161","1,422,550","11,155,587"
"59,379","3,688,852","1,180,178","707,847","336,911","148,156",,,"113,059","3,090,703","6,326,507","878,012","995,860","829,223","259,052","2,679,580","296,939","108,265","195,047","388,245","215,396","39,582,472","95,657,896","257,774","202,265","95,148","380,725","340,833","329,415","289,698","183,437","270,035",,"9,988,280","861,038","1,390,061","417,660","1,873,358","134,102","92,494",,,,"144,211","276,034","255,078","78,507","690,864","111,132","1,438,381","872,207","175,743",,,"5,248,180","7,806,732","1,167,285","46,903","212,442","188,961","145,872","1,076,751","37,699","339,459","299,656","258,608","271,918","236,676","7,082,677","5,455,147","35,362,320","4,499,690","937,758","1,061,218","8,985,350","1,371,020","59,936","368,621",,"54,807",,,"68,145","32,215",,"511,377","97,134","124,234","144,534","107,485","676,182","234,955","223,248","1,186,039","26,199,758","1,256,700","8,316,838",,"76,720",,,"450,605","397,869","614,791","465,938",,"211,747","16,821,688","1,031,726","257,915","761,047",,,,"1,570,341","894,949","904,888","226,397","234,420","280,006","67,614","155,538",,"90,742","40,858","3,680,035",,,"153,034","31,861","120,640","547,068",,,"147,796",,"245,495",,"59,588",,"213,148","133,462","70,206","2,783,587","559,583","40,400","112,884","84,551","945,002","126,863","233,414","333,423","200,633","249,859","128,635",,,"478,875",,,"8,968,611","32,919,146","17,968,382","5,814,901","20,990","82,406","116,862","112,660","45,850","1,027,536","28,194","57,413","20,904","40,052","63,259","400,359",,"228,089","147,056","148,690","751,315","206,931","338,185","312,672",,"2,587,005","1,655,547","23,867,162","270,809","144,208","63,232","111,145","30,417","22,818","1,912,245","2,085,147","10,672,481","390,752","1,313,635","3,733,656","406,183","227,014","651,248","3,416,070","2,060,633","93,307","757,339",,"231,198","202,659","497,072","2,024,572","103,324","224,224","1,548,668","1,360,376","1,363,970","1,308,675","1,094,971","27,803,224","237,842","1,572,138","663,825","2,822,856","1,057,162","237,559","2,995,898","13,418,646","424,816","1,440,987","39,436","348,129","215,387","930,403","1,637,981","117,267","87,907","79,774","24,069",,"505,366","1,763,401","951,811","2,371,302","29,755","40,998,000","13,008,367","14,210,925","24,327,564","7,986,065"
,,,,,,,,,,,,"143,548","82,551",,,,,,,,"89,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,298",,"33,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,973",,,,,,,,,,,,,,,,,,,,,,,,,"430,601",,,,,,,,,,,,,,,,,,,,,,,"8,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,129",,,,,,,,
,,,,,,,,,,,,"625,080","273,907",,,,,,,,"863,041","25,014",,,,,,,,,,,"170,764",,,,"187,686","79,881",,,,,,,,,,,,,,,,"164,040",,"67,532",,,,,,,,,,,,"682,138","792,507","3,985,209","11,905",,"12,821",,,,,,,,,,,,,,,,,,,,,"30,838",,"1,746,816",,,,,"11,011",,,,,,"24,428",,,"15,027",,,,,,,,,,,,,,,,"160,824","120,925",,,,,,,,,,,,,,,,,,,,,,,"93,568",,"150,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"119,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"167,256",,"5,274,659",,,,,,,,,,,,"843,836","657,057",,,,"2,604,685",,,,,,,,,
"170,481","234,929","1,133,715","546,096",,"127,484","327,002","404,739","1,150,342","708,110","371,728","929,183","318,709","366,822",,"2,075,070","1,245,051","681,643","348,067","636,925",,"486,134","426,737",,,"569,106","144,041","805,033","80,909","509,330","1,884,395","1,759,020","2,093,888","461,345","1,302,803","772,462","731,305","316,529","245,366","193,628",,,,,"1,434,849",,,"450,166","492,394","158,859","149,737","364,666","410,083","65,247","212,702","250,045",,"330,826","1,018,582","1,225,573","3,451,195","561,214","152,760","1,029,917","1,291,959","1,460,019","1,476,817","1,402,298","377,241","1,192,042","1,950,071","662,202","90,713","2,597,543","1,360,695","120,307","49,292","596,885","75,325","629,094",,,"689,539","194,795","626,112","148,551","2,125,671","203,353","621,060","217,566","615,896","284,623","981,568","1,967,582","981,125","902,288","379,934","498,114","1,339,173","1,043,138",,"1,969,987","796,228","917,036","1,016,184",,"649,580","2,189,766","375,111","485,397",,"432,465","1,793,093","1,201,883",,,"124,436","291,698","289,865","546,752",,,"428,523","139,844","90,045","44,986",,"617,850","189,992",,"239,702",,,"286,335","3,220,534","168,552","1,045,987","951,625","2,110,570","2,925,170","309,117","310,356","1,230,326","1,660,231","1,094,158","1,463,172","1,538,980","1,643,429","643,731","1,628,357","1,334,928","971,665","606,372","1,303,100","432,251",,"222,297","461,823","157,492",,"554,050","107,769","146,497","1,272,652",,"378,067","169,853",,"1,299,571","707,950","435,691","148,806","19,253",,"44,591",,,"1,561,856","345,127","304,158","874,247","360,969","302,929","792,210",,"72,151","374,709","190,313","3,178,682","543,747","132,789","555,953","172,993",,"90,348","566,475","383,474","1,993,877","729,272","267,980","2,733,461","687,349","466,850","344,326","209,874","328,450","231,367",,"98,969","395,245","1,449,127","298,804","664,444","681,947","779,288","850,467","884,495","854,106","843,198","18,283","281,203","891,656","1,770,261","890,852","2,207,653","42,774","960,238",,,"190,464","80,320","1,582,742","697,110","1,437,676","2,041,188",,,"40,817",,"51,150","818,507",,"341,637","413,717","30,769","1,400,591","2,604,579","819,388","3,047,272","1,230,741"
"419,733",,,,,,,,,,,,,,,,,,,,,"42,155",,,,,,,"17,053",,,,,"18,458",,,,"54,935",,,,,,,,,,,,,,,,,,,,"130,976",,"66,411",,"57,147",,,,,"23,817",,,"37,947",,,,,,,,,,,,,,,,,,,,,,"90,907",,,,,,,,,,"34,264","59,543",,,,,,,"36,384",,,,,"28,465",,,,,,,,,,,,"1,329,699",,,"33,146",,,"55,798","58,398","25,887",,,,,,"28,448",,,,,,,"27,329",,,,,"26,310",,"38,497",,,,,,,,,,,,,,,,,,,,,,,,"84,487","64,561",,,,,,,,,,,,,,,,,,"42,120","91,733","39,938",,"48,167",,,"31,432",,,,,,,,,,,,,,,,,"97,048",,,,,,,,,,,,,,,,,"42,190","32,418","200,772",,,,,,,,,
,"1,412,256",,"587,029",,"612,480",,,"221,894",,,,,,,,,,,"52,306",,,,,,,,,,,,,"124,241",,"334,737",,,,,,,,"276,195",,,,"249,673",,"424,903",,"1,694,283","109,736",,,,,,,,,,,,,,,,,"307,669",,,,,,,,,,,,,,,,,,,,,,,,"153,582","94,247","162,113",,"182,882","237,034",,,,,,,,,,,,,,,"357,687","432,439",,,,,,,,,,,,,,,,,,,,,,,"1,313,669",,,,,,"179,282",,,,,"203,050",,,,"1,608,396","72,961",,,,,,,,,,"697,351",,,,,"154,827",,"507,559",,,,,,,,,,,,,,,,,,,"262,934",,,,,,,,,,,,,,,,,,,,,,,,"21,436,370",,,,,,,"852,582",,,,,,,,"50,895",,"256,279",,,,,,,,,,,,,,,,,,,,
,,,,,"201,241",,,"43,083,084",,,,,,,,,"3,993,292","562,447","10,582,356","167,452",,,"55,695",,"1,791,518","770,662",,"372,841",,,,,"47,965","30,836,642","113,788","1,845,373",,,,,,"161,316","1,856,295","2,789,191",,"17,814,056","10,721,933","40,586,300","5,756,515","113,594,176","9,150,641","133,028",,,,,,,,,,,"2,918,868","2,796,482","2,408,975","2,400,762","2,139,068","167,279",,"1,091,590",,,,,,,,"493,889",,,,,,,,,,,,,"49,017","989,287","1,434,090","10,572,687","2,121,587","8,514,318","13,326,946","1,470,393","1,507,725",,"130,733","2,384,711",,,,,,,,,"134,868","23,042,372","26,565,100",,,,,,,,,,,,"825,451",,"3,383,575","380,453",,,,,,,,"350,288,096","858,585",,,,,"49,999,596","1,891,936","10,595,003","14,421,391","19,170,104","83,661,296","6,422,538",,,"299,954,400","21,883,314","1,587,445","438,838",,"1,008,007","2,371,703",,,"3,352,140","3,302,671","201,750,176","18,947,676",,,,"270,060",,"1,180,879",,"1,988,941",,"349,604","270,510",,,,,,,,,,,,,,,,,,,"252,990","138,789",,"16,707,621","481,316",,,,,,"167,546",,,,,,,,,"23,715,270",,,,,,,"1,965,179",,,,"936,162",,"12,152,960",,"33,982,280",,"626,109",,,,,,,,,,,,,,,,,,"172,236","4,784,741","985,685"
,,,,,"1,004,318",,,"2,177,294",,,,,,,,,"141,377",,"281,596",,,,"1,318,173","1,487,419",,,,,,,,,,"1,087,628",,,,,,,,"337,555","77,700","159,058",,"888,592","514,736","2,140,198","253,750","6,959,626","407,324",,,,,,,,,,,,"171,265","158,301","133,993","135,861","109,132","374,713",,"61,711",,,,"110,131",,,,,,,,,,,,,,,,,,"320,971","243,518","706,688",,"714,095","744,932","114,701","100,607",,,"121,965",,,,,,,,,,"1,272,082","1,126,833",,,,,,,,,,,,,,,,,,,,,,,"3,131,598",,,,,,"377,118",,,"194,506","267,155","1,787,972","73,568",,,"3,892,807","245,469",,,,,,,,"86,826",,"2,965,521","316,733",,,,"560,938",,"532,070",,,,,,,,,,,,,,,,,,"645,089","73,678","63,920",,,,,,,"171,080",,,,,,,,,,,,,,,,"32,127,346","218,669",,,,,,"677,882",,,,,,"177,795",,"438,950",,"329,263",,,,,,,,,,,,,,,,,,,,
"2,000,344","176,483",,"153,702","30,785","82,626",,,,,,,"431,051",,"16,802","40,156",,,,,"20,357","4,406,531","19,124","756,700","728,510",,,,"173,207","88,281",,,,"319,189","125,835","114,030","41,118","128,780","1,157,625","226,389",,,,,,"1,924,765","1,920,490",,,,,"57,456",,,,,,"472,536","205,609",,,,,,,,,,"40,106","48,045","640,901","380,849","254,304",,,,"281,029",,,,,,,,,,"46,884","44,156","14,439","20,393","189,890","259,596",,,,"27,281",,,,,,"25,237",,,,,,,,"34,969",,,,,"2,345,473","2,364,962","127,734",,,"719,452","875,134","1,314,941",,"63,381",,"263,020","1,940,937","139,058",,,,"30,953","2,480,189","55,232","2,357,255",,,,,,,,,,,,,,,,,,,,,"19,023,732",,,,,"302,767",,,,,"58,505",,"424,950",,,,,"150,097","99,331",,,,,"1,447,906","2,092,193",,,,,"723,796","891,906",,,,,,,,"94,153",,,,"34,547",,,,,,,"316,745",,,"216,347","593,368","463,173","121,880",,,,,,,,,,,,,,,,,,"343,115",,,,,,"53,130","89,838","127,558","31,864",,,"49,306","180,779","34,731","165,635",,,,,"32,431",
"19,994,308","108,358,488","5,572,822","23,143,948","13,963,388","49,957,568","589,028","1,748,851","1,890,792","15,240,788","33,276,386","52,732,424","80,482,704","25,553,528","5,276,842","57,963,288","10,159,329","1,599,383","1,545,593","11,362,034","45,893,860","223,979,504","267,217,632","69,436,592","68,134,816","9,835,135","15,350,199","15,309,883","53,148,408","73,857,392","19,278,316","6,429,483","1,490,189","33,812,228","4,575,402","5,849,581","2,708,878","141,251,520","399,255,744","15,222,920","32,227,394","8,069,588","12,245,543","8,698,192","3,868,987","41,907,336","106,753,800","16,651,419","17,788,416","28,303,726","15,983,988","18,571,556","11,328,621","82,081,928","21,607,020","10,679,509","360,909,728","206,126,736","121,805,152","216,576,496","105,385,696","7,795,136","1,100,973","3,449,443","4,925,307","4,684,318","3,595,835","4,245,705","524,646,016","88,381,368","449,110,720","899,367,808","149,434,560","306,801,760","2,577,047","16,196,244","80,779,736","30,291,208","20,281,270","4,836,317","3,661,178","1,524,080","3,644,486","23,278,778","1,667,603","3,004,180","1,413,595","186,235,168","33,145,512","963,926,848","196,783,168","44,947,384","31,242,326","59,288,764","36,337,660","16,360,509","46,792,548","13,684,617","18,185,334","21,808,650","53,662,444","34,671,492","42,479,412","12,869,689","4,704,028","132,607,352","17,518,034","11,836,631","5,182,051","11,976,979","49,025,452","9,242,527","15,315,874","4,581,896","18,549,768",,"9,949,092","4,531,903","2,589,478","5,133,138","12,076,628","11,018,717","6,116,438","13,080,920","11,370,841","39,591,788","3,269,478,656","530,056,768","81,379,960","27,459,262","40,798,328","3,773,646","84,624,536","12,447,265","8,056,671","3,516,120","72,799,072","5,403,569","39,371,656","75,906,952","145,211,248","13,026,151","1,000,936,448","13,456,452","60,000,152","186,383,312","18,450,776","10,342,489","22,800,172","14,517,951","16,349,595","8,406,337","4,278,691","13,561,095","2,633,023","107,429,672","49,702,096","2,380,618","8,717,383","879,556","148,422,272","41,649,556","8,249,790","9,905,867","4,460,685","18,061,318","96,916,824","73,157,272","3,220,991","21,020,142","8,713,611","28,753,652","19,007,728","17,689,106","6,074,431","23,917,184","2,064,561","20,308,512",,"7,965,433","5,868,379","8,779,219","1,732,341","2,142,248","13,501,366","166,974,064","5,282,301","18,507,692","5,893,288","39,075,136","13,884,332","5,592,456","13,946,328","157,443,760","17,471,564","28,464,952","27,629,260","1,375,303,296","31,446,178","44,837,068","16,651,419","23,408,608","18,598,604","5,576,792","14,333,719","154,286,512","97,034,464","4,519,475","41,609,552","98,942,336","28,962,370","4,301,469","4,875,923","9,086,596","39,879,336","41,499,764","103,654,832","50,416,840","84,966,552","6,125,143","28,460,536","5,521,850","2,940,015","3,625,322","3,659,030","3,324,426","66,092,316","298,355,328","63,662,192","7,750,715","14,024,960","4,799,779","10,133,443","9,199,078","15,597,204","46,166,240","67,260,136","183,471,648","1,834,683","2,574,252","276,997,504","35,212,088","52,895,860","5,653,070","4,481,707","15,195,771","20,910,880","16,256,683","9,340,554","3,927,970"
,,"403,438","523,980","759,649",,,,,,,,,,,,,,,,,,,,,,,,,"1,552,092",,,,,"385,390","250,347",,"101,662",,"175,984",,,,,,"453,759","316,864",,,,,,,"161,916",,,,,,,"154,545",,,,,,,,,,,"353,255","136,590","1,487,515","270,931","789,649","333,805","729,171",,,,,,,"81,165","263,689",,"398,623","545,861","2,975,949",,,"346,013","173,380",,,"180,162",,,,,,,,,,"15,255,719","4,200,322",,,"2,186,126",,,"84,844","159,580","93,557",,,,"139,242",,,,"1,046,099","184,491",,"3,520,561",,"191,763",,,,,,"119,871",,"346,013","387,257","195,892","64,356","395,777","3,263,248","267,675",,,,,"739,281",,,,,,,,"162,945",,,,,,,,,"305,254",,,"110,647",,,,,"97,866",,,,,"25,331,346","372,656","362,595",,"114,344",,"396,563","1,022,800",,,"209,965",,,,,,,,,"150,605",,,,,,"96,767",,"245,933",,,"167,746",,,,,,,,,,,,,,"1,041,921",,,,,"102,006","145,994",,,"522,527","1,655,751","1,487,557",,"2,325,920",,,,,,"539,190",,"32,196,404",,"6,425,760",,,,,
